Model,Tumor Type
X-007,GC
X-010,GC
X-011,GC
X-015,GC
X-017,GC
X-020,GC
X-023,GC
X-024,GC
X-025,GC
X-027,GC
X-028,GC
X-029,GC
X-031,GC
X-034,GC
X-035,GC
X-037,GC
X-038,GC
X-039,GC
X-050,GC
X-056,GC
X-057,GC
X-064,GC
X-065,GC
X-067,GC
X-074,GC
X-075,GC
X-077,GC
X-078,GC
X-084,GC
X-089,GC
X-090,GC
X-091,GC
X-0933,CRC
X-096,GC
X-097,GC
X-098,GC
X-0988,CRC
X-099,GC
X-0991,PDAC
X-0992,CRC
X-1004,BRCA
X-1008,BRCA
X-101,GC
X-102,GC
X-1027,CRC
X-105,GC
X-1055,CRC
X-1119,CRC
X-114,GC
X-1156,NSCLC
X-1167,CRC
X-1172,NSCLC
X-1173,CRC
X-118,GC
X-1189,NSCLC
X-119,GC
X-1199,PDAC
X-1210,CRC
X-1228,NSCLC
X-1234,CRC
X-1256,CRC
X-127,GC
X-1270,CRC
X-128,GC
X-1286,BRCA
X-1289,PDAC
X-129,GC
X-1290,CRC
X-1298,BRCA
X-1303,CRC
X-131,GC
X-1310,CRC
X-1317,PDAC
X-1323,NSCLC
X-1329,CRC
X-1333,CRC
X-1349,BRCA
X-135,GC
X-136,GC
X-1362,PDAC
X-137,GC
X-1371,BRCA
X-138,GC
X-1383,BRCA
X-1402,CRC
X-1407,BRCA
X-141,GC
X-142,GC
X-144,GC
X-1441,CRC
X-1442,NSCLC
X-1443,CRC
X-146,GC
X-1468,BRCA
X-1479,CRC
X-1499,NSCLC
X-1500,CRC
X-1536,CRC
X-1538,CRC
X-154,GC
X-158,GC
X-1586,NSCLC
X-160,GC
X-1600,BRCA
X-161,GC
X-162,GC
X-1631,BRCA
X-165,GC
X-1655,CM
X-1658,NSCLC
X-166,GC
X-1683,NSCLC
X-169,GC
X-171,GC
X-1725,NSCLC
X-177,GC
X-1787,NSCLC
X-1795,NSCLC
X-1823,NSCLC
X-1828,BRCA
X-1832,BRCA
X-1834,NSCLC
X-1835,NSCLC
X-1855,CRC
X-1869,NSCLC
X-1870,NSCLC
X-1906,CM
X-1916,BRCA
X-1921,BRCA
X-1934,NSCLC
X-1948,PDAC
X-1959,PDAC
X-1979,NSCLC
X-1980,NSCLC
X-1993,NSCLC
X-2017,NSCLC
X-2026,PDAC
X-2042,NSCLC
X-2043,PDAC
X-20508,NSCLC
X-20689,NSCLC
X-2081,PDAC
X-20810,NSCLC
X-2082,NSCLC
X-2088,NSCLC
X-2094,NSCLC
X-2127,BRCA
X-2145,CRC
X-21617,NSCLC
X-2163,CM
X-2182,CRC
X-2195,BRCA
X-2239,CRC
X-2283,PDAC
X-2306,CM
X-2339,PDAC
X-2344,BRCA
X-2353,BRCA
X-2374,CRC
X-2403,CRC
X-2428,PDAC
X-2470,PDAC
X-2483,CRC
X-2484,CRC
X-2487,BRCA
X-2514,CRC
X-2524,BRCA
X-2538,CRC
X-2564,PDAC
X-2573,CRC
X-2602,CM
X-2613,CM
X-2633,PDAC
X-2640,BRCA
X-2659,CRC
X-2684,PDAC
X-2700,CM
X-2723,CM
X-2753,CM
X-2761,CRC
X-2780,BRCA
X-2822,CRC
X-2838,CM
X-2846,CRC
X-2861,CRC
X-2921,CM
X-2992,CM
X-2997,PDAC
X-3028,PDAC
X-3029,NSCLC
X-3038,PDAC
X-3052,PDAC
X-3077,BRCA
X-3078,BRCA
X-3093,CRC
X-3127,CM
X-3201,BRCA
X-3205,CRC
X-3209,PDAC
X-3211,CM
X-3224,CRC
X-3237,NSCLC
X-3267,CRC
X-3268,PDAC
X-3298,BRCA
X-3450,BRCA
X-3453,BRCA
X-3468,BRCA
X-3483,CM
X-3486,CM
X-3503,CM
X-3671,CRC
X-3676,CM
X-3684,CRC
X-3697,BRCA
X-3746,CM
X-3773,CM
X-3782,PDAC
X-3792,CRC
X-3800,PDAC
X-3816,PDAC
X-3843,NSCLC
X-3846,PDAC
X-3851,CM
X-3873,BRCA
X-3880,CM
X-3898,PDAC
X-3947,PDAC
X-3990,PDAC
X-4015,PDAC
X-4018,PDAC
X-4087,CRC
X-4145,PDAC
X-4157,CM
X-4215,PDAC
X-4226,PDAC
X-4316,PDAC
X-4339,CM
X-4347,BRCA
X-4377,PDAC
X-4378,PDAC
X-4426,CM
X-4439,PDAC
X-4455,CM
X-4530,CM
X-4538,CM
X-4567,BRCA
X-4644,CM
X-4649,PDAC
X-4668,CM
X-4676,PDAC
X-4819,NSCLC
X-4824,BRCA
X-4832,CM
X-4849,CM
X-4888,BRCA
X-4927,PDAC
X-4949,BRCA
X-5189,CM
X-5205,PDAC
X-5238,CRC
X-5249,BRCA
X-5254,CRC
X-5267,NSCLC
X-5355,BRCA
X-5405,CRC
X-5421,CRC
X-5438,CRC
X-5446,CRC
X-5494,CRC
X-5495,CRC
X-5502,BRCA
X-5536,CRC
X-5541,BRCA
X-5578,CRC
X-5975,BRCA
X-6047,BRCA
